iter	Passed	Remaining
317	6719	14411
318	6739	14387
319	6757	14360
320	6770	14322
321	6786	14288
322	6801	14255
323	6816	14221
324	6835	14197
325	6853	14170
326	6952	14308
327	6975	14290
328	6990	14257
329	7027	14268
330	7056	14262
331	7070	14225
332	7091	14203
333	7105	14168
334	7117	14128
335	7144	14119
336	7165	14096
337	7182	14066
338	7193	14026
339	7204	13985
340	7220	13953
341	7244	13937
342	7262	13910
343	7283	13888
344	7294	13849
345	7307	13812
346	7324	13784
347	7339	13750
348	7353	13716
349	7372	13691
350	7391	13667
351	7406	13634
352	7420	13600
353	7440	13577
354	7472	13576
355	7534	13630
356	7603	13695
357	7633	13688
358	7684	13720
359	7708	13704
360	7728	13680
361	7769	13692
362	7784	13659
363	7804	13635
364	7830	13623
365	7845	13589
366	7863	13563
367	7883	13539
368	7900	13509
369	7910	13470
370	7927	13439
371	7990	13489
372	8008	13462
373	8032	13444
374	8053	13423
375	8156	13536
376	8172	13504
377	8336	13717
378	8372	13719
379	8402	13709
380	8422	13684
381	8441	13655
382	8458	13625
383	8472	13591
384	8497	13573
385	8521	13554
386	8543	13532
387	8563	13508
388	8660	13603
389	8698	13605
390	8748	13626
391	8776	13612
392	8845	13662
393	8867	13638
394	8889	13615
395	8972	13684
396	8988	13653
397	9035	13666
398	9050	13632
399	9121	13682
400	9145	13660
401	9196	13680
402	9221	13659
403	9246	13640
404	9265	13612
405	9284	13583
